
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    %Res.   %Stp  Lr      Ld      L1      L2      L3      L4      L5      xr      x1      x2      x3      x4      x5      

1-0     1.3514  10.11   26.82   10.54   45.435  13.664  100     0    	0    	0.5724  0.5641  0.5123  0.5122  0.4979  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
1       1.3498  10.11   26.8    10.53   45.458  13.618  100     4.e-4	0.1  	0.5729  0.5641  0.5123  0.5122  0.4979  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
1       1.3594  10.11   26.84   10.54   45.638  14.065  100     -2e-3	0.1  	0.5724  0.5647  0.5123  0.5122  0.4979  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
1       1.4127  10.17   26.09   10.78   43.019  14.511  99.99   0.012	0.1  	0.5724  0.5641  0.5128  0.5122  0.4979  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
1       1.4237  10.1    24.86   10.47   40.481  12.832  100     -0.02	0.1  	0.5724  0.5641  0.5123  0.5127  0.4979  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
1       1.3345  10.06   27.14   10.57   42.609  11.133  100     -0.02	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  

Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    %Res.   %Stp  Lr      Ld      L1      L2      L3      L4      L5      xr      x1      x2      x3      x4      x5      

2-0     1.3345  10.06   27.14   10.57   42.609  11.133  100     0    	0    	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3332  10.05   27.13   10.55   42.626  11.094  100     -4e-3	0.1  	0.5729  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3401  10.05   27.15   10.56   42.798  11.526  100     -6e-3	0.1  	0.5724  0.5647  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.415   10.12   26.51   10.82   40.225  12.214  99.99   7.e-3	0.1  	0.5724  0.5641  0.5128  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.4573  10.04   25.06   10.49   37.708  10.931  100     -0.04	0.1  	0.5724  0.5641  0.5123  0.5127  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3628  10      27.21   10.6    39.621  9.141   99.99   -0.03	0.1  	0.5724  0.5641  0.5123  0.5122  0.4989  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3069  10.03   28.05   10.45   42.12   9.4692  100     -7e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.4824  0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3181  10.04   27.08   10.54   42.905  10.694  100     -5e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4811  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3339  10.05   27.14   10.56   42.62   11.118  100     -4e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
2       1.3287  10.05   27.26   10.56   42.965  11.189  100     -3e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1998  0.42    0.7132  1.0624  1.4368  
2       1.347   10.06   26.97   10.59   42.453  11.523  99.99   -3e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.4205  0.7132  1.0624  1.4368  
2       1.3523  10.06   26.76   10.61   42.007  11.351  99.99   -4e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7139  1.0624  1.4368  
2       1.3386  10.05   27.32   10.52   41.927  10.694  100     -6e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0635  1.4368  
2       1.3184  10.05   27.4    10.57   42.427  10.284  100     -5e-4	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4383  
2-1                                                                           -0.442  -0.623  0.7505  -4.153  -3.587  -0.706  -0.524  -0.46   -0.325  -0.327  -0.464  -0.583  -0.056  

2-2     23.176  9.88    0.89    0.89    3.2553  35.619  100     -5.58	7.97 	0.5522  0.5361  0.543   0.3426  0.3559  0.4549  0.4605  -0.173  0.1944  0.4091  0.6868  1.0131  1.4304  
3       1.3332  10.05   27.13   10.55   42.626  11.094  100     -4e-3	0.1  	0.5729  0.5641  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
3       1.3401  10.05   27.15   10.56   42.798  11.526  100     -6e-3	0.1  	0.5724  0.5647  0.5123  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
3       1.415   10.12   26.51   10.82   40.225  12.214  99.99   7.e-3	0.1  	0.5724  0.5641  0.5128  0.5122  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
3       1.4573  10.04   25.06   10.49   37.708  10.931  100     -0.04	0.1  	0.5724  0.5641  0.5123  0.5127  0.4984  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
3       1.3628  10      27.21   10.6    39.621  9.141   99.99   -0.03	0.1  	0.5724  0.5641  0.5123  0.5122  0.4989  0.482   0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
3       1.3069  10.03   28.05   10.45   42.12   9.4692  100     -7e-3	0.1  	0.5724  0.5641  0.5123  0.5122  0.4984  0.4824  0.4806  -0.18   0.1996  0.42    0.7132  1.0624  1.4368  
