Machine Module,SMS3032XP,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,44032.000000,Auto
Start Frequency,+1.000000000E+08
Stop Frequency,+3.000000000E+08
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Fixed,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,198133333.33333334,,,,,,,
Marker Ampt,-62.26877081,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
179733333,-59.56
180000000,-57.93
180266667,-61.07
180533333,-61.03
180800000,-63.70
181066667,-58.59
181333333,-62.91
181600000,-60.72
181866667,-60.20
182133333,-63.07
182400000,-62.91
182666667,-62.45
182933333,-61.61
183200000,-60.33
183466667,-58.94
183733333,-58.50
184000000,-58.88
184266667,-63.17
184533333,-67.17
184800000,-64.62
185066667,-61.73
185333333,-62.87
185600000,-60.14
185866667,-61.39
186133333,-64.49
186400000,-60.91
186666667,-61.41
186933333,-62.37
187200000,-60.52
187466667,-57.51
187733333,-63.34
188000000,-58.68
188266667,-59.45
188533333,-61.38
188800000,-56.82
189066667,-65.11
189333333,-58.88
189600000,-62.42
189866667,-64.57
190133333,-60.28
190400000,-60.62
190666667,-60.61
190933333,-60.90
191200000,-63.86
191466667,-56.37
191733333,-57.63
192000000,-61.82
192266667,-61.30
192533333,-60.11
192800000,-59.94
193066667,-60.57
193333333,-59.36
193600000,-63.28
193866667,-59.69
194133333,-60.19
194400000,-61.20
194666667,-63.46
194933333,-60.39
195200000,-61.19
195466667,-65.27
195733333,-61.15
196000000,-59.90
196266667,-63.78
196533333,-59.40
196800000,-60.00
197066667,-56.88
197333333,-64.15
197600000,-59.54
197866667,-62.22
198133333,-62.27
198400000,-61.46
198666667,-61.05
198933333,-59.47
199200000,-59.60
199466667,-59.71
199733333,-61.64
200000000,-60.02
200266667,-60.23
200533333,-64.86
200800000,-63.61
201066667,-59.65
201333333,-59.67
201600000,-59.12
201866667,-57.15
202133333,-59.63
202400000,-62.63
202666667,-62.46
202933333,-59.87
203200000,-63.64
203466667,-61.92
203733333,-59.35
204000000,-58.18
204266667,-62.52
204533333,-59.15
204800000,-59.61
205066667,-59.53
205333333,-60.96
205600000,-60.13
205866667,-64.70
206133333,-59.45
206400000,-61.95
206666667,-65.96
206933333,-69.30
207200000,-60.90
207466667,-62.53
207733333,-60.91
208000000,-63.14
208266667,-61.50
208533333,-59.45
208800000,-61.37
209066667,-60.77
209333333,-64.52
209600000,-61.98
209866667,-65.15
210133333,-60.92
210400000,-60.54
210666667,-58.99
210933333,-63.54
211200000,-61.16
211466667,-64.00
211733333,-63.38
212000000,-63.88
212266667,-61.50
212533333,-59.45
212800000,-62.07
213066667,-60.09
213333333,-61.89
213600000,-61.01
213866667,-60.45
214133333,-62.67
214400000,-58.97
214666667,-56.27
214933333,-58.18
215200000,-61.49
215466667,-57.90
215733333,-58.71
216000000,-59.58
216266667,-65.28
216533333,-62.98
216800000,-63.06
217066667,-60.67
217333333,-58.85
217600000,-60.20
217866667,-61.90
218133333,-65.22
218400000,-56.67
218666667,-61.14
218933333,-63.79
219200000,-63.22
219466667,-61.68
219733333,-59.54
220000000,-59.63
220266667,-59.08
220533333,-61.07
220800000,-57.46
221066667,-56.94
221333333,-57.74
221600000,-61.59
221866667,-64.27
222133333,-59.28
222400000,-63.86
222666667,-69.32
222933333,-60.45
223200000,-56.95
223466667,-59.59
223733333,-59.79
224000000,-60.74
224266667,-58.56
224533333,-60.71
224800000,-63.12
225066667,-59.89
225333333,-61.01
225600000,-62.14
225866667,-60.96
226133333,-59.85
226400000,-61.49
226666667,-62.84
226933333,-58.27
227200000,-60.91
227466667,-62.26
227733333,-60.14
228000000,-68.65
228266667,-63.83
228533333,-60.54
228800000,-62.65
229066667,-57.85
229333333,-63.99
229600000,-64.84
229866667,-59.47
230133333,-61.37
230400000,-60.18
230666667,-61.57
230933333,-59.75
231200000,-63.90
231466667,-66.98
231733333,-62.44
232000000,-63.49
232266667,-61.32
232533333,-60.15
232800000,-61.09
233066667,-60.25
233333333,-60.28
233600000,-62.30
233866667,-64.02
234133333,-63.34
234400000,-62.23
234666667,-61.65
234933333,-62.23
235200000,-59.79
235466667,-59.06
235733333,-61.39
236000000,-63.45
236266667,-60.39
236533333,-65.78
236800000,-59.28
237066667,-61.10
237333333,-59.14
237600000,-64.84
237866667,-60.04
238133333,-61.32
238400000,-61.60
238666667,-60.78
238933333,-58.10
239200000,-59.75
239466667,-61.63
239733333,-58.86
240000000,-63.37
240266667,-60.09
240533333,-60.58
240800000,-60.95
241066667,-64.81
241333333,-59.65
241600000,-60.20
241866667,-61.98
242133333,-63.74
242400000,-64.50
242666667,-65.75
242933333,-57.69
243200000,-57.47
243466667,-62.61
243733333,-58.29
244000000,-59.41
244266667,-59.40
