
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    %Res.   %Stp  Lr      Ld      L1      L2      L3      L4      L5      xr      x1      x2      x3      x5      

1-0     1.1741  9.04    8.74    7.07    51.985  -7.949  99.98   0    	0    	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1739  9.04    8.75    7.07    51.962  -7.944  99.98   5.e-3	0.1  	0.7387  0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1696  9.04    8.74    7.07    52.201  -7.704  99.98   2.e-3	0.1  	0.738   0.7267  0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1641  9.04    8.77    7.07    51.699  -7.545  99.98   0.019	0.1  	0.738   0.726   0.6006  0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1821  9.04    8.69    7.04    51.643  -8.349  99.98   -0.03	0.1  	0.738   0.726   0.6     0.6006  0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1679  9.04    8.76    7.07    51.389  -7.75   99.98   0.012	0.1  	0.738   0.726   0.6     0.6     0.6006  0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1716  9.03    8.75    7.05    51.943  -7.842  99.98   1.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6006  0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1738  9.03    8.73    7.06    51.958  -7.938  99.98   -9e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6006  -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1742  9.04    8.75    7.07    51.968  -7.953  99.98   5.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
1       1.1742  9.04    8.75    7.07    52.058  -7.941  99.98   5.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1997  0.4358  0.1185  1.2365  
1       1.1737  9.04    8.73    7.07    51.715  -7.971  99.98   -4e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4362  0.1185  1.2365  
1       1.1734  9.04    8.75    7.07    52.012  -7.91   99.98   5.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1186  1.2365  
1       1.1725  9.03    8.74    7.06    51.94   -7.885  99.98   -4e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2378  
1-1                                                                           0.5777  0.2772  2.3105  -3.312  1.516   0.1583  -1.108  0.5637  0.5601  -0.539  0.6124  -0.466  

1-2     35.507  3.55    -0.64   -0.84   5.3231  83.244  100     -24.2	10   	0.7806  0.7461  0.7386  0.4013  0.691   0.6095  0.5335  -0.362  0.2107  0.4123  0.1257  1.179   
2       1.1739  9.04    8.75    7.07    51.962  -7.944  99.98   5.e-3	0.1  	0.7387  0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1696  9.04    8.74    7.07    52.201  -7.704  99.98   2.e-3	0.1  	0.738   0.7267  0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1641  9.04    8.77    7.07    51.699  -7.545  99.98   0.019	0.1  	0.738   0.726   0.6006  0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1821  9.04    8.69    7.04    51.643  -8.349  99.98   -0.03	0.1  	0.738   0.726   0.6     0.6006  0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1679  9.04    8.76    7.07    51.389  -7.75   99.98   0.012	0.1  	0.738   0.726   0.6     0.6     0.6006  0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1716  9.03    8.75    7.05    51.943  -7.842  99.98   1.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6006  0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1738  9.03    8.73    7.06    51.958  -7.938  99.98   -9e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6006  -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1742  9.04    8.75    7.07    51.968  -7.953  99.98   5.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2365  
2       1.1742  9.04    8.75    7.07    52.058  -7.941  99.98   5.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1997  0.4358  0.1185  1.2365  
2       1.1737  9.04    8.73    7.07    51.715  -7.971  99.98   -4e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4362  0.1185  1.2365  
2       1.1734  9.04    8.75    7.07    52.012  -7.91   99.98   5.e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1186  1.2365  
2       1.1725  9.03    8.74    7.06    51.94   -7.885  99.98   -4e-3	0.1  	0.738   0.726   0.6     0.6     0.6     0.6     0.6     -0.343  0.1995  0.4358  0.1185  1.2378  
2-1                                                                           0.5777  0.2772  2.3105  -3.312  1.516   0.1583  -1.108  0.5637  0.5601  -0.539  0.6124  -0.466  

2-2     2.4813  9.03    15.81   6.84    40.927  41.562  99.99   2.618	2    	0.7465  0.73    0.6277  0.5603  0.6182  0.6019  0.5867  -0.347  0.2018  0.4311  0.1199  1.225   
2-3     6.001   8.32    11.71   3.63    42.604  93.932  100     -3.9 	2    	0.7552  0.7341  0.6567  0.5232  0.6369  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       5.9939  8.31    11.7    3.62    42.659  93.919  100     -6e-3	0.1  	0.7559  0.7341  0.6567  0.5232  0.6369  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       6.0394  8.32    11.72   3.64    42.868  94.668  100     -0.02	0.1  	0.7552  0.7348  0.6567  0.5232  0.6369  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       6.0739  8.28    11.5    3.54    43.136  95.366  100     -0.15	0.1  	0.7552  0.7341  0.6574  0.5232  0.6369  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       5.9877  8.32    11.74   3.63    42.64   93.829  100     0.02 	0.1  	0.7552  0.7341  0.6567  0.5237  0.6369  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       5.9755  8.31    11.74   3.62    42.701  93.766  100     0.022	0.1  	0.7552  0.7341  0.6567  0.5232  0.6376  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       6.0131  8.31    11.74   3.61    42.5    93.941  100     3.e-3	0.1  	0.7552  0.7341  0.6567  0.5232  0.6369  0.6044  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       6.0005  8.31    11.71   3.62    42.602  93.924  100     -4e-3	0.1  	0.7552  0.7341  0.6567  0.5232  0.6369  0.6038  0.5743  -0.351  0.204   0.4265  0.1214  1.2136  
3       5.997   8.32    11.71   3.63    42.648  93.941  100     2.e-3	0.1  	0.7552  0.7341  0.6567  0.5232  0.6369  0.6038  0.5737  -0.351  0.204   0.4265  0.1214  1.2136  
3       5.9867  8.32    11.7    3.63    42.85   94.065  100     3.e-3	0.1  	0.7552  0.7341  0.6567  0.5232  0.6369  0.6038  0.5737  -0.351  0.2042  0.4265  0.1214  1.2136  
