
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    %Res.   %Stp  Lr      Ld      L1      L2      L3      L4      L5      

1-0     9.0626  2.88    -2.12   -2.12   18.096  -73.97  100     0    	0    	0.5721  0.5638  0.5126  0.511   0.4974  0.4818  0.4805  
1       9.1081  2.84    -2.18   -2.18   17.994  -73.96  100     -0.1 	0.1  	0.5727  0.5638  0.5126  0.511   0.4974  0.4818  0.4805  
1       8.9758  2.88    -2.12   -2.12   18.172  -73.66  100     2.e-4	0.1  	0.5721  0.5644  0.5126  0.511   0.4974  0.4818  0.4805  
1       9.0699  2.89    -2.1    -2.1    18.082  -73.98  100     0.03 	0.1  	0.5721  0.5638  0.5131  0.511   0.4974  0.4818  0.4805  
1       9.0613  2.88    -2.12   -2.12   18.096  -73.97  100     4.e-6	0.1  	0.5721  0.5638  0.5126  0.5116  0.4974  0.4818  0.4805  
1       9.0621  2.88    -2.12   -2.12   18.099  -73.98  100     4.e-7	0.1  	0.5721  0.5638  0.5126  0.511   0.4979  0.4818  0.4805  
1       9.0634  2.88    -2.11   -2.11   18.094  -73.97  100     0.01 	0.1  	0.5721  0.5638  0.5126  0.511   0.4974  0.4822  0.4805  
1       9.0624  2.88    -2.12   -2.12   18.097  -73.98  100     1.e-7	0.1  	0.5721  0.5638  0.5126  0.511   0.4974  0.4818  0.481   
1-1                                                                           -4.983  0.0114  1.4977  2.1e-4  1.9e-5  0.5077  4.7e-6  

1-2     6.4311  7.79    7.52    7.27    24.217  -69.92  99.99   14.78	7.029	0.3717  0.5643  0.5666  0.511   0.4974  0.499   0.4805  
1-3     8.9896  8.84    5.8     5.8     14.12   -61.04  99.98   -0.64	7.029	0.2415  0.5647  0.6262  0.5111  0.4974  0.5168  0.4805  
2       8.9898  8.84    5.8     5.8     14.12   -61.04  99.98   -4e-7	0.1  	0.2418  0.5647  0.6262  0.5111  0.4974  0.5168  0.4805  
2       8.8934  8.84    5.8     5.8     14.175  -60.68  99.98   2.e-4	0.1  	0.2415  0.5653  0.6262  0.5111  0.4974  0.5168  0.4805  
2       9.0039  8.82    5.69    5.69    14.046  -60.86  99.98   -0.12	0.1  	0.2415  0.5647  0.6268  0.5111  0.4974  0.5168  0.4805  
2       8.9772  8.84    5.8     5.8     14.14   -61.04  99.98   2.e-5	0.1  	0.2415  0.5647  0.6262  0.5116  0.4974  0.5168  0.4805  
2       8.9968  8.85    5.82    5.82    14.111  -61.05  99.98   0.028	0.1  	0.2415  0.5647  0.6262  0.5111  0.4979  0.5168  0.4805  
2       8.9831  8.84    5.79    5.79    14.128  -61.03  99.98   -1e-2	0.1  	0.2415  0.5647  0.6262  0.5111  0.4974  0.5173  0.4805  
2       8.9939  8.84    5.81    5.81    14.114  -61.04  99.98   1.e-2	0.1  	0.2415  0.5647  0.6262  0.5111  0.4974  0.5168  0.481   
2-1                                                                           -2.e-5  9.7e-3  -5.051  8.5e-4  1.1592  -0.39   0.3899  

2-2     4.2195  6.2     4.15    3.6     36.997  -66.14  100     -4   	7.029	0.2415  0.5651  0.4039  0.5111  0.538   0.5026  0.4937  
3       8.9898  8.84    5.8     5.8     14.12   -61.04  99.98   -4e-7	0.1  	0.2418  0.5647  0.6262  0.5111  0.4974  0.5168  0.4805  
3       8.8934  8.84    5.8     5.8     14.175  -60.68  99.98   2.e-4	0.1  	0.2415  0.5653  0.6262  0.5111  0.4974  0.5168  0.4805  
3       9.0039  8.82    5.69    5.69    14.046  -60.86  99.98   -0.12	0.1  	0.2415  0.5647  0.6268  0.5111  0.4974  0.5168  0.4805  
